Temperature,R,G,B
80.0,255,255,255
79.8855421686747,254,250,254
79.7710843373494,253,242,253
79.6566265060241,254,240,254
79.5421686746988,254,238,254
79.42771084337349,254,238,254
79.3132530120482,254,235,254
79.1987951807229,253,232,253
79.08433734939759,254,230,254
78.96987951807229,254,229,254
78.855421686747,254,225,254
78.74096385542168,253,220,253
78.62650602409639,252,215,253
78.51204819277109,254,212,254
78.39759036144578,254,209,254
78.28313253012048,254,205,254
78.16867469879519,254,202,255
78.05421686746988,254,197,254
77.93975903614458,252,192,253
77.82530120481928,253,188,253
77.71084337349397,253,184,253
77.59638554216868,254,184,254
77.48192771084338,254,181,254
77.36746987951807,253,177,252
77.25301204819277,253,174,252
77.13855421686748,254,172,254
77.02409638554217,254,170,254
76.90963855421687,254,168,254
76.79518072289157,253,164,254
76.68072289156626,254,161,254
76.56626506024097,253,157,254
76.45180722891567,253,154,254
76.33734939759036,254,151,254
76.22289156626506,254,148,254
76.10843373493977,253,145,254
75.99397590361446,253,142,254
75.87951807228916,254,140,254
75.76506024096386,254,139,254
75.65060240963855,255,137,253
75.53614457831326,254,134,250
75.42168674698794,254,129,246
75.30722891566265,253,126,243
75.19277108433735,254,123,241
75.07831325301206,254,121,239
74.96385542168674,254,118,237
74.84939759036145,254,116,235
74.73493975903614,254,114,233
74.62048192771084,255,111,230
74.50602409638554,254,108,227
74.39156626506025,254,106,224
74.27710843373494,254,103,222
74.16265060240964,255,101,221
74.04819277108433,254,96,217
73.93373493975903,254,94,214
73.81927710843374,253,90,210
73.70481927710844,253,86,207
73.59036144578313,254,85,207
73.47590361445783,254,82,205
73.36144578313252,254,79,204
73.24698795180723,255,77,203
73.13253012048193,253,71,197
73.01807228915662,254,70,196
72.90361445783132,254,67,195
72.78915662650603,255,65,193
72.67469879518072,254,62,190
72.56024096385542,254,59,185
72.44578313253012,254,56,181
72.33132530120481,254,54,177
72.21686746987952,254,51,170
72.10240963855422,254,51,167
71.98795180722891,254,49,163
71.87349397590361,254,47,158
71.75903614457832,254,46,153
71.644578313253,254,44,149
71.53012048192771,254,42,145
71.41566265060241,255,41,141
71.3012048192771,254,39,135
71.1867469879518,255,37,129
71.07228915662651,254,34,122
70.9578313253012,254,32,117
70.8433734939759,254,31,112
70.7289156626506,254,30,108
70.6144578313253,254,29,103
70.5,254,29,97
70.39072164948453,254,26,85
70.28144329896907,254,27,80
70.17216494845361,254,26,80
70.06288659793815,254,26,77
69.95360824742268,255,25,71
69.84432989690721,254,24,64
69.73505154639176,254,23,59
69.62577319587629,254,22,55
69.51649484536082,254,21,53
69.40721649484536,255,20,50
69.29793814432989,255,18,42
69.18865979381444,254,16,34
69.07938144329897,254,16,27
68.9701030927835,254,15,22
68.86082474226804,254,13,20
68.75154639175258,254,14,17
68.64226804123712,254,12,9
68.53298969072165,254,11,4
68.42371134020618,254,10,2
68.31443298969072,254,9,0
68.20515463917526,254,8,0
68.0958762886598,254,7,0
67.98659793814433,254,6,0
67.87731958762886,253,5,0
67.76804123711341,254,6,0
67.65876288659794,253,6,0
67.54948453608247,253,7,1
67.440206185567,253,9,1
67.33092783505154,254,11,1
67.22164948453609,254,12,1
67.11237113402062,254,13,0
67.00309278350515,253,13,0
66.89381443298969,253,16,0
66.78453608247423,254,19,0
66.67525773195877,254,21,0
66.5659793814433,254,23,1
66.45670103092783,255,24,0
66.34742268041236,254,25,0
66.23814432989691,254,26,0
66.12886597938144,253,27,0
66.01958762886598,254,31,0
65.91030927835051,254,33,0
65.80103092783506,254,35,0
65.69175257731959,254,36,1
65.58247422680412,254,37,0
65.47319587628866,253,39,0
65.36391752577319,253,40,0
65.25463917525774,254,41,0
65.14536082474227,254,42,0
65.0360824742268,254,43,0
64.92680412371134,253,45,0
64.81752577319588,254,48,0
64.70824742268042,254,51,0
64.59896907216495,254,54,0
64.48969072164948,254,55,0
64.38041237113401,254,57,0
64.27113402061856,253,57,0
64.1618556701031,253,58,0
64.05257731958763,254,60,0
63.94329896907217,254,62,0
63.8340206185567,254,64,0
63.72474226804124,254,66,0
63.61546391752577,254,67,0
63.506185567010306,253,67,0
63.396907216494846,254,71,0
63.28762886597938,254,73,0
63.17835051546392,255,75,0
63.06907216494845,254,77,0
62.95979381443299,254,78,0
62.850515463917525,254,82,0
62.741237113402065,254,85,0
62.6319587628866,254,87,0
62.52268041237113,254,89,0
62.41340206185567,254,90,0
62.3041237113402,253,92,0
62.19484536082474,254,96,0
62.085567010309276,254,100,1
61.97628865979381,254,105,2
61.86701030927835,254,107,1
61.75773195876289,254,108,0
61.64845360824742,254,110,0
61.539175257731955,254,112,0
61.429896907216495,255,115,0
61.32061855670103,254,118,0
61.21134020618557,254,120,0
61.1020618556701,254,123,0
60.992783505154634,254,125,0
60.883505154639174,254,128,0
60.774226804123714,254,130,1
60.66494845360825,254,132,0
60.55567010309278,254,134,0
60.44639175257732,254,136,0
60.33711340206185,254,139,0
60.22783505154639,254,141,0
60.118556701030926,254,144,0
60.00927835051546,255,147,0
59.9,255,149,0
59.792405063291135,254,150,0
59.68481012658228,254,151,0
59.577215189873414,254,153,0
59.46962025316456,254,155,0
59.36202531645569,254,158,1
59.254430379746836,255,160,0
59.14683544303797,254,161,0
59.039240506329115,254,163,0
58.93164556962025,254,165,0
58.824050632911394,255,168,0
58.71645569620253,255,169,1
58.608860759493666,254,170,0
58.50126582278481,254,171,0
58.393670886075945,254,172,0
58.28607594936709,254,173,0
58.178481012658224,254,177,0
58.07088607594937,254,178,0
57.9632911392405,254,179,0
57.85569620253165,254,181,0
57.74810126582278,254,182,0
57.640506329113926,254,184,0
57.53291139240506,254,185,0
57.4253164556962,254,186,0
57.31772151898734,254,188,0
57.21012658227848,254,189,0
57.10253164556962,254,192,0
56.994936708860756,254,194,0
56.8873417721519,254,196,1
56.779746835443035,254,197,1
56.67215189873418,254,197,0
56.564556962025314,253,198,0
56.45696202531646,253,199,0
56.34936708860759,253,202,0
56.24177215189873,253,203,0
56.13417721518987,252,204,0
56.02658227848101,252,206,0
55.91898734177215,253,208,0
55.81139240506329,253,209,0
55.70379746835443,252,211,0
55.59620253164557,253,213,0
55.48860759493671,253,214,0
55.381012658227846,252,214,0
55.27341772151899,251,216,0
55.165822784810125,251,218,0
55.05822784810127,252,220,0
54.950632911392404,253,222,0
54.84303797468354,252,224,0
54.73544303797468,254,228,0
54.62784810126582,253,229,0
54.52025316455696,253,230,0
54.4126582278481,254,232,1
54.30506329113924,254,234,2
54.19746835443038,254,236,3
54.08987341772152,254,237,3
53.982278481012656,254,238,3
53.87468354430379,254,240,4
53.767088607594935,254,241,5
53.65949367088607,254,242,5
53.551898734177215,254,244,7
53.44430379746835,254,246,9
53.336708860759494,254,249,10
53.22911392405063,254,250,11
53.12151898734177,253,251,11
53.01392405063291,254,252,13
52.90632911392405,254,253,15
52.79873417721519,254,254,15
52.69113924050633,254,254,15
52.58354430379747,255,254,15
52.4759493670886,254,254,15
52.368354430379746,254,254,15
52.26075949367088,254,254,15
52.153164556962025,254,254,14
52.04556962025316,254,254,14
51.937974683544304,254,254,14
51.83037974683544,254,254,14
51.72278481012658,255,254,14
51.61518987341772,255,254,14
51.507594936708855,254,254,13
51.4,254,254,13
51.275,254,254,12
51.15,254,254,12
51.025,255,254,11
50.9,255,254,11
50.775,254,254,11
50.65,254,254,10
50.525,254,254,10
50.4,253,255,10
50.275,250,254,9
50.15,248,254,9
50.025,245,255,8
49.9,243,255,8
49.80357142857143,240,254,8
49.707142857142856,238,254,7
49.61071428571429,237,254,7
49.51428571428571,236,254,7
49.417857142857144,234,254,7
49.32142857142857,233,254,7
49.225,232,254,7
49.128571428571426,231,254,7
49.03214285714286,230,254,7
48.93571428571428,229,254,7
48.839285714285715,227,254,7
48.74285714285714,226,255,7
48.64642857142857,223,254,6
48.55,221,254,5
48.45357142857143,218,254,4
48.35714285714286,216,254,4
48.260714285714286,214,255,4
48.16428571428572,213,255,3
48.06785714285714,211,254,3
47.971428571428575,209,254,3
